date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:45:51	106/106	---M--	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202021%2015:15:51%20GMT	http://www.cheemafarm.co.in/robots.txt		(from )
20:45:55	150984/150984	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202021%2015:15:51%20GMT	http://www.cheemafarm.co.in/	C:/My%20Web%20Sites/WEBSITE1234/www.cheemafarm.co.in/index.html	(from )
20:45:56	78842/78842	---M-Z	200	added ('OK')	text/css	etag:%22133fa-5c737fff88f94-gzip%22	https://catalog.wlimg.com/templates-images/12577/common/catalog_new.css	C:/My%20Web%20Sites/WEBSITE1234/catalog.wlimg.com/templates-images/12577/common/catalog_new.css	(from http://www.cheemafarm.co.in/)
20:45:56	245576/245576	---M-Z	200	added ('OK')	text/css	etag:%223bf48-5c725a15e2865-gzip%22	https://catalog.wlimg.com/templates-images/12577/12584/catalog.css	C:/My%20Web%20Sites/WEBSITE1234/catalog.wlimg.com/templates-images/12577/12584/catalog.css	(from http://www.cheemafarm.co.in/)
20:45:56	455519/455519	---M-Z	200	added ('OK')	application/javascript	etag:%226f35f-5c5f9a1df0f22-gzip%22	https://catalog.wlimg.com/main-common/catalog_common.js	C:/My%20Web%20Sites/WEBSITE1234/catalog.wlimg.com/main-common/catalog_common.js	(from http://www.cheemafarm.co.in/)
20:45:56	141527/141527	---M-Z	200	added ('OK')	application/javascript	etag:%22228d7-5bd2ab9536184-gzip%22	https://catalog.wlimg.com/templates-images/12577/common/catalog_new.js	C:/My%20Web%20Sites/WEBSITE1234/catalog.wlimg.com/templates-images/12577/common/catalog_new.js	(from http://www.cheemafarm.co.in/)
20:45:57	1371/1371	---M--	200	added ('OK')	image/gif	etag:%2255b-5bcc7bcf2c63e%22	https://catalog.wlimg.com/templates-images/12577/12584/setting-icon.gif	C:/My%20Web%20Sites/WEBSITE1234/catalog.wlimg.com/templates-images/12577/12584/setting-icon.gif	(from http://www.cheemafarm.co.in/)
20:45:57	242/242	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jul%202021%2015:15:56%20GMT	https://catalog.wlimg.com/templates-images/12577/12584/ei_footerbg.png	C:/My%20Web%20Sites/WEBSITE1234/catalog.wlimg.com/templates-images/12577/12584/ei_footerbg.png	(from http://www.cheemafarm.co.in/)
20:45:57	2471/2471	---M--	200	added ('OK')	image/png	etag:%229a7-5ab3e09fcb0b8%22	https://catalog.wlimg.com/main-common/whatsapp-icon.png	C:/My%20Web%20Sites/WEBSITE1234/catalog.wlimg.com/main-common/whatsapp-icon.png	(from http://www.cheemafarm.co.in/)
20:46:01	90400/90400	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202021%2015:15:57%20GMT	http://www.cheemafarm.co.in/thanks.htm	C:/My%20Web%20Sites/WEBSITE1234/www.cheemafarm.co.in/thanks.html	(from http://www.cheemafarm.co.in/)
